Sprint;Week;Ma;Di;Wo;Do;Vr;L_Ma;L_Di;L_Wo;L_Do;L_Vr;D_Ma;D_Di;D_Wo;D_Do;D_Vr
0;36 (1);Team-1, Kick-off;Expertise-1;Bij opdrachtgever;Gilde;Team-2;team-overzicht;;;;;1-sep;2-sep;3-sep;4-sep;5-sep
1;37 (2);Team-3, Planning;Expertise-2;Bij opdrachtgever;Gilde;Project;;;;;;8-sep;9-sep;10-sep;11-sep;12-sep
1;38 (3);Team-4;Expertise-3;Bij opdrachtgever;Gilde-AB;Review-Retro-1;;;;;;15-sep;16-sep;17-sep;18-sep;19-sep
2;39 (4);Team-5, Planning;Expertise-4;Bij opdrachtgever;Gilde-CD;Project;;;;;;22-sep;23-sep;24-sep;25-sep;26-sep
2;40 (5);Team-6;Expertise-5;Bij opdrachtgever;Gilde-AB;Review-Retro-2;;;;;;29-sep;30-sep;1-okt;2-okt;3-okt
3;41 (6);Team-7, Planning;Expertise-6;Bij opdrachtgever;Gilde-CD;Project;;;;;;6-okt;7-okt;8-okt;9-okt;10-okt
3;42 (7);Team-8;Expertise-7;Bij opdrachtgever;Gilde-AB;Review-Retro-3;;;;;;13-okt;14-okt;15-okt;16-okt;17-okt
;43;Herfstvakantie;;;;;;;;;;20-okt;21-okt;22-okt;23-okt;24-okt
4;44 (8);Team-9, Planning;Expertise-8;Bij opdrachtgever;Gilde-CD;Project;;;;;;27-okt;28-okt;29-okt;30-okt;31-okt
4;45 (9);Team-10;Expertise-9;Bij opdrachtgever;Gilde-AB;Review-Retro-4;;;;;;3-nov;4-nov;5-nov;6-nov;7-nov
5;46 (10);Team-11, Planning;Expertise-10;Bij opdrachtgever;Gilde-CD;Project;;;;;;10-nov;11-nov;12-nov;13-nov;14-nov
5;47 (11);Team-12;Expertise-11;Bij opdrachtgever;Gilde-AB;Project;;;;;;17-nov;18-nov;19-nov;20-nov;21-nov
5;48 (12);Project;Expertise-12;Bij opdrachtgever;Gilde-CD;Review-Retro-5;;;;;;24-nov;25-nov;26-nov;27-nov;28-nov
6;49 (13);Team-12, Planning;Expertise-13;Bij opdrachtgever;Gilde-AB;Project;;;;;;1-dec;2-dec;3-dec;4-dec;5-dec
6;50 (14);Team-13;Expertise-14;Bij opdrachtgever;Gilde-CD;Project;;;;;;8-dec;9-dec;10-dec;11-dec;12-dec
6;51 (15);Project;Expertise-15;Bij opdrachtgever;Gilde-AB;Review-Retro-6;;;;;;15-dec;16-dec;17-dec;18-dec;19-dec
;52;Kerstvakantie;;;;;;;;;;22-dec;23-dec;24-dec;25-dec;26-dec
;1;Kerstvakantie;;;;;;;;;;29-dec;30-dec;31-dec;1-jan;2-jan
7;2 (16);Team-14, Planning;Expertise-16;Bij opdrachtgever;Gilde-CD;Project;;;;;;5-jan;6-jan;7-jan;8-jan;9-jan
7;3 (17);Team-15;;Bij opdrachtgever;;Review-Retro-7;;;;;;12-jan;13-jan;14-jan;15-jan;16-jan
8;4 (18);Verbeteren;;;;;;;;;;19-jan;20-jan;21-jan;22-jan;23-jan
8;5 (19);Verbeteren;;;;;;;;;;26-jan;27-jan;28-jan;29-jan;30-jan
